M56,6779,Deep Sky Object,Globular Cluster,34000,5,8.2,19.2767,30.1667,Lyr,
M57,6720,Deep Sky Object,Planetary Nebula,2150,1.2 x 1,9.3,18.8933,33.0333,Lyr,Ring nebula
M58,4579,Deep Sky Object,Galaxy,41M,4.4 x 3.5,9.2,12.625,11.8167,Vir,
M59,4621,Deep Sky Object,Galaxy,41M,2.7 x 1.6,9.6,12.7,11.65,Vir,
M60,4649,Deep Sky Object,Galaxy,41M,2 x 1.8,8.9,12.7267,11.55,Vir,
M61,4303,Deep Sky Object,Galaxy,41M,5.6 x 5.3,10.1,12.3667,4.4667,Vir,
M62,6266,Deep Sky Object,Globular Cluster,22000,4.3,6.6,17.0217,-30.1167,Oph,
M63,5055,Deep Sky Object,Galaxy,23.8M,12.6 x 7.2,9.5,13.2633,42.0333,CVn,Sunflower galaxy
M64,4826,Deep Sky Object,Galaxy,13.4M,10 x 5.4,8.8,12.9467,21.6833,Com,Black-eye galaxy
M65,3623,Deep Sky Object,Galaxy,27M,7.8 x 1.5,9.3,11.315,13.1,Leo,
M66,3627,Deep Sky Object,Galaxy,27M,9.1 x 4.2,8.4,11.3367,13,Leo,
M67,2682,Deep Sky Object,Open Cluster,2700,15,6.1,8.8417,11.8167,Cnc,
M68,4590,Deep Sky Object,Globular Cluster,37000,2.9,8.2,12.6583,-26.75,Hya,
M69,6637,Deep Sky Object,Globular Cluster,23000,2.8,8.9,18.5233,-32.35,Sgr,
M70,6681,Deep Sky Object,Globular Cluster,65000,2.5,9.6,18.7217,-32.3,Sgr,
M71,6838,Deep Sky Object,Globular Cluster,18000,6.1,9,19.895,18.7833,Sge,
M72,6981,Deep Sky Object,Globular Cluster,60000,2,9.8,20.89,-12.55,Aqr,
M73,6994,Deep Sky Object,Star Group,,2.8,9,20.985,-12.6333,Aqr,
M74,628,Deep Sky Object,Galaxy,31.6M,10.5 x 9.5,10.2,1.6117,15.7833,Psc,
M75,6864,Deep Sky Object,Globular Cluster,79000,1.9,8,20.1017,-21.9167,Sgr,
M76,650,Deep Sky Object,Planetary Nebula,8180,2.5 x 1.5,12.2,1.7,51.5667,Per,Little dumb-bell nebula
M77,1068,Deep Sky Object,Galaxy,46.9M,7.1 x 6.0,8.9,2.7117,-0.0167,Cet,
M78,2068,Deep Sky Object,Diffuse Nebula,1600,8 x 6,8.3,5.78,0.05,Ori,
M79,1904,Deep Sky Object,Globular Cluster,43000,3.2,7.9,5.405,-24.5167,Lep,
M80,6093,Deep Sky Object,Globular Cluster,36000,3.3,7.7,16.285,-22.9833,Sco,
M81,3031,Deep Sky Object,Galaxy,17.9M,26.9 x 14.1,7.9,9.9267,69.0667,UMa,Bode's galaxy
M82,3034,Deep Sky Object,Galaxy,17.9M,11.2 x 4.3,8.8,9.9333,69.7,UMa,Bode's galaxy
M83,5236,Deep Sky Object,Galaxy,15.3M,12.9 x 11.5,8.2,13.6167,-29.8667,Hya,
M84,4374,Deep Sky Object,Galaxy,41M,6.4 x 5.6,10,12.4167,12.8833,Vir,
M85,4382,Deep Sky Object,Galaxy,54.8M,7.1 x 5.5,10,12.4233,18.1833,Com,
M86,4406,Deep Sky Object,Galaxy,54.8M,8.9 x 5.8,9.8,12.4367,12.9333,Vir,
M87,4486,Deep Sky Object,Galaxy,54.8M,8.3 x 6.6,9.6,12.5133,12.3833,Vir,
M88,4501,Deep Sky Object,Galaxy,41M,6.9 x 3.7,10.7,12.5333,14.4167,Com,
M89,4552,Deep Sky Object,Galaxy,41M,5.1 x 4.7,10.5,12.5933,12.55,Vir,
